feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00330	Group	Brd__ar Transplant	-0.0051555371667069	0.00211184672971734	50	50	0.0187284247238285	0.0746160121624106
ko00071	Group	Harvard BRI	-0.00268075505660264	0.0011049240194803	50	50	0.0194252665788313	0.0770589087424712
ko00561	Group	Brd__ar Transplant	0.00376127935800362	0.00156404330317007	50	50	0.0204533720281057	0.0804722833892682
ko05211	Group	Broad Institute	-0.00299212680674228	0.00124343505932126	50	50	0.0203797535165702	0.0804722833892682
ko00600	Group	Har__ar Transplant	-0.00653003233187125	0.00272051249295932	50	50	0.020678693620283	0.0807494346543383
ko05150	Group	Har__ar Transplant	-0.0106086998472013	0.0044202629439273	50	50	0.0206926051621611	0.0807494346543383
ko00780	Group	Brd__ar Transplant	-0.00311839774480007	0.00130023103031699	50	50	0.0207761566246058	0.0807494346543383
ko00531	Group	Jackson Labs	0.00803750610836172	0.00335472272724411	50	50	0.0208996375870369	0.0809018229175622
ko04112	Group	Jackson Labs	-0.00149037311063186	0.000623549580560721	50	50	0.0211896427813046	0.0816950083134634
ko00592	Group	Brd__ar Transplant	-0.00229668615336953	0.000962981976019765	50	50	0.021454245171678	0.0823843014592437
ko00380	Group	Jackson Labs	0.00283874041359943	0.00119291249476762	50	50	0.0217286174529559	0.0831054691427796
ko00440	Group	Broad Institute	-0.00236163872801776	0.00099448751935339	50	50	0.0219872702360476	0.0837610294706577
ko04621	Group	Harvard BRI	0.00180632306084892	0.000767782855351281	50	50	0.0231769513335375	0.0879441631628301
ko03430	Group	Har__ar Transplant	-0.00258182589412834	0.00110722240760178	50	50	0.0243526979909154	0.0920416931940111
ko00362	Group	Broad Institute	-0.0040163702682253	0.00172594363565737	50	50	0.0246278021047603	0.0927164314532151
ko03440	Group	Har__ar Transplant	-0.00336560562725277	0.00144799342709091	50	50	0.0247875067314493	0.092953150242935
ko04113	Group	Harvard BRI	0.00233316221962657	0.00100523520607394	50	49	0.02498226712404	0.0933189744711222
ko04910	Group	Harvard BRI	0.0021484206591715	0.000927369222840273	50	50	0.0252387978391592	0.0939118059131504
ko05340	Group	Harvard BRI	-0.00257862375317569	0.00111389943293976	50	50	0.0253420621418759	0.0939319677845593
ko00740	Group	Brd__ar Transplant	-0.00364300282339453	0.00157926338352143	50	50	0.0258350577891528	0.0946628071663614
ko00071	Group	Broad Institute	-0.00254944003416277	0.0011049240194803	50	50	0.025800376148482	0.0946628071663614
ko04920	Group	Brd__ar Transplant	-0.00624631404340346	0.0027075322468265	50	50	0.0258204523340362	0.0946628071663614
ko00020	Group	Harvard BRI	0.00508837357742887	0.00221642295230981	50	50	0.0265125253476096	0.0967757579228335
ko00030	Group	Harvard BRI	-0.00329369092012238	0.00143809184288041	50	50	0.0268528907584585	0.0976468754853037
ko00604	Group	Jackson Labs	0.00667704696067064	0.00291844884941271	50	50	0.0270071635919997	0.0978372718804518
ko02020	Group	Har__ar Transplant	0.0125481316861692	0.00549064385186946	50	50	0.0271663029175538	0.0980438000032017
ko03013	Group	Broad Institute	0.00113579311602827	0.000500908994128044	50	50	0.0283262335409353	0.101847131832577
ko03410	Group	Har__ar Transplant	-0.00257119194511406	0.00113547195255951	50	50	0.0285274125789745	0.102187746551551
ko00312	Group	Jackson Labs	0.00748138679569748	0.00331114570049309	50	50	0.0288592578638683	0.10299214702347
ko00401	Group	Jackson Labs	0.00319553562609902	0.00141558879992534	50	50	0.0289982015317852	0.103104716557458
ko05020	Group	Brd__ar Transplant	0.00257270573374579	0.00114686621700535	50	50	0.0299653862622533	0.106150445799864
ko00020	Group	Brd__ar Transplant	-0.00571157226574707	0.0025760872825312	50	50	0.0318258787643787	0.112326630933101
ko05010	Group	Jackson Labs	-0.00229971789076833	0.00104034528845548	50	50	0.0323135684346038	0.113630130759046
ko00523	Group	Jackson Labs	0.00277076537052849	0.00125451444481908	50	50	0.0324546463064697	0.113709709686901
ko05340	Group	Broad Institute	-0.00245673770268946	0.00111389943293976	50	50	0.0326867785628868	0.11373321116989
ko00640	Group	Harvard BRI	-0.00317535085688048	0.00143982320328657	50	50	0.0326982982113433	0.11373321116989
ko00190	Group	Har__ar Transplant	0.00533755003424848	0.00242369695829157	50	50	0.0329345473667232	0.114141391595864
ko00561	Group	Harvard BRI	-0.00295563586891972	0.00134567702696254	50	50	0.0333780039381867	0.114438870645212
ko02010	Group	Jackson Labs	0.0147974190420439	0.00673664182539406	50	50	0.0333654831831952	0.114438870645212
ko00400	Group	Brd__ar Transplant	-0.0079480517344364	0.00361577512406821	50	50	0.0332433387841285	0.114438870645212
